"IDpol","ClaimNb","Exposure","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Area","Density","Region","TotalClaimAmount","DrivAge_Band","BM_Band"
"139",1,0.75,7,1,61,50,"B12","Regular","F",27000,"Ile-de-France",303,"[55,65)","[49,60)"
"190",1,0.14,12,5,50,60,"B12","Diesel","B",56,"Basse-Normandie",1981.84,"[45,55)","[60,70)"
"414",1,0.14,4,0,36,85,"B12","Regular","E",4792,"Ile-de-France",1456.55,"[35,45)","[80,90)"
"424",2,0.62,10,0,51,100,"B12","Regular","F",27000,"Ile-de-France",10834,"[45,55)","[100,250]"
"463",1,0.31,5,0,45,50,"B12","Regular","A",12,"Midi-Pyrenees",3986.67,"[45,55)","[49,60)"
"606",1,0.84,10,6,54,50,"B12","Diesel","D",583,"Provence-Alpes-Cotes-D'Azur",1840.14,"[45,55)","[49,60)"
"622",1,0.75,5,0,34,64,"B12","Regular","D",1565,"Nord-Pas-de-Calais",1397.97,"[25,35)","[60,70)"
"811",1,0.76,5,0,44,50,"B12","Regular","E",3317,"Provence-Alpes-Cotes-D'Azur",971.98,"[35,45)","[49,60)"
"830",1,0.68,4,10,24,105,"B1","Regular","E",3064,"Ile-de-France",1442.75,"[17,25)","[100,250]"
"975",1,0.73,9,0,60,50,"B12","Regular","D",570,"Provence-Alpes-Cotes-D'Azur",637.41,"[55,65)","[49,60)"
"1226",1,0.79,7,7,28,80,"B12","Diesel","B",65,"Champagne-Ardenne",3048.98,"[25,35)","[80,90)"
"1301",1,0.05,6,0,76,50,"B12","Regular","D",543,"Languedoc-Roussillon",4573.47,"[65,100]","[49,60)"
"1323",1,0.62,8,4,67,72,"B12","Regular","E",2674,"Provence-Alpes-Cotes-D'Azur",384.77,"[65,100]","[70,80)"
"1349",1,0.36,5,0,39,57,"B12","Diesel","C",177,"Provence-Alpes-Cotes-D'Azur",185.98,"[35,45)","[49,60)"
"1534",1,0.62,4,0,47,50,"B12","Regular","B",79,"Languedoc-Roussillon",671.05,"[45,55)","[49,60)"
"1552",2,0.59,11,0,39,56,"B12","Diesel","D",778,"Picardie",2840.94,"[35,45)","[49,60)"
"1669",1,0.5,9,0,35,67,"B12","Regular","D",1139,"Ile-de-France",724.03,"[35,45)","[60,70)"
"1671",1,0.73,6,0,74,50,"B12","Regular","E",3132,"Ile-de-France",3401.9,"[65,100]","[49,60)"
"1741",1,0.65,6,8,49,100,"B1","Regular","E",9082,"Ile-de-France",2975.68,"[45,55)","[100,250]"
"1870",1,0.11,5,0,52,50,"B12","Regular","C",428,"Midi-Pyrenees",1692.29,"[45,55)","[49,60)"
"1963",1,0.1,9,0,78,50,"B12","Regular","E",2580,"Aquitaine",422.05,"[65,100]","[49,60)"
"1967",1,0.75,10,8,50,51,"B12","Regular","F",27000,"Ile-de-France",76.22,"[45,55)","[49,60)"
"2058",1,0.55,9,1,51,70,"B12","Regular","C",480,"Picardie",704.18,"[45,55)","[70,80)"
"2085",2,0.69,9,0,50,50,"B12","Regular","C",353,"Aquitaine",1852.28,"[45,55)","[49,60)"
"2199",1,0.12,5,0,49,50,"B12","Diesel","A",23,"Pays-de-la-Loire",564.35,"[45,55)","[49,60)"
"2222",1,0.73,5,0,22,100,"B12","Regular","E",4408,"Ile-de-France",3365.37,"[17,25)","[100,250]"
"2284",1,0.6,6,0,35,72,"B12","Regular","C",495,"Languedoc-Roussillon",1761.37,"[35,45)","[70,80)"
"2311",1,0.72,5,0,47,50,"B12","Regular","E",5936,"Ile-de-France",553.09,"[45,55)","[49,60)"
"2375",1,0.72,5,1,52,50,"B12","Regular","E",3430,"Provence-Alpes-Cotes-D'Azur",631.36,"[45,55)","[49,60)"
"2540",1,0.15,7,2,71,60,"B12","Regular","E",2201,"Ile-de-France",6467.65,"[65,100]","[60,70)"
"2606",1,0.01,7,0,45,60,"B12","Diesel","E",6570,"Ile-de-France",1322.75,"[45,55)","[60,70)"
"2689",1,0.7,7,5,32,100,"B12","Regular","F",15725,"Ile-de-France",885.28,"[25,35)","[100,250]"
"2776",2,0.57,12,9,53,100,"B12","Regular","E",3110,"Ile-de-France",9240.11,"[45,55)","[100,250]"
"2869",1,0.57,4,0,48,50,"B12","Regular","D",726,"Languedoc-Roussillon",1878.72,"[45,55)","[49,60)"
"3131",1,0.74,10,0,61,72,"B12","Regular","E",5433,"Provence-Alpes-Cotes-D'Azur",1219.51,"[55,65)","[70,80)"
